BJD_TDB,NormFlux,NormFluxError
2459674.90957,0.9781,0.0032
2459674.91023,0.9761,0.0033
2459674.91089,0.9827,0.0031
2459674.91155,0.9852,0.0031
2459674.91221,0.9883,0.0031
2459674.91287,0.9848,0.003
2459674.91353,0.9946,0.0031
2459674.91419,0.9824,0.0031
2459674.91485,0.9806,0.0031
2459674.91551,0.983,0.0031
2459674.91617,0.9842,0.003
2459674.91683,0.986,0.003
2459674.91749,0.9844,0.0031
2459674.91815,0.9788,0.0031
2459674.91881,0.9802,0.0031
2459674.91947,0.9887,0.003
2459674.92013,0.9837,0.0031
2459674.92079,0.9856,0.0031
2459674.92145,0.9831,0.003
2459674.92211,0.9843,0.003
2459674.92277,0.9878,0.003
2459674.92343,0.9794,0.003
2459674.92409,0.982,0.003
2459674.92475,0.9836,0.003
2459674.92541,0.982,0.0031
2459674.92607,0.9829,0.0031
2459674.92672,0.9797,0.003
2459674.92738,0.9853,0.0029
2459674.92804,0.9899,0.003
2459674.9287,0.9862,0.003
2459674.92936,0.9817,0.0032
2459674.93002,0.9895,0.0031
2459674.93068,0.9821,0.0031
2459674.93134,0.9777,0.0029
2459674.932,0.9844,0.003
2459674.93266,0.9864,0.003
2459674.93332,0.9741,0.0029
2459674.93398,0.9864,0.003
2459674.93464,0.9835,0.003
2459674.9353,0.9841,0.003
2459674.93596,0.9839,0.003
2459674.93662,0.9922,0.003
2459674.93728,0.9843,0.0029
2459674.93794,0.9838,0.0029
2459674.9386,0.9871,0.003
2459674.93926,0.9739,0.0029
2459674.94,0.9811,0.0029
2459674.94066,0.9864,0.003
2459674.94132,0.9813,0.0029
2459674.94198,0.9751,0.0029
2459674.94264,0.9822,0.003
2459674.9433,0.9779,0.003
2459674.94396,0.982,0.003
2459674.94462,0.9812,0.003
2459674.94528,0.9885,0.003
2459674.94594,0.9896,0.003
2459674.9466,0.9789,0.003
2459674.94726,0.9786,0.003
2459674.94792,0.9846,0.003
2459674.94858,0.9824,0.003
2459674.94924,0.9737,0.0031
2459674.9499,0.9842,0.003
2459674.95056,0.9707,0.0032
2459674.95122,0.9796,0.003
2459674.95188,0.98,0.003
2459674.95254,0.9792,0.0031
2459674.9532,0.9806,0.0031
2459674.95386,0.9802,0.0031
2459674.95452,0.9802,0.003
2459674.95518,0.9777,0.0031
2459674.95584,0.9808,0.0031
2459674.9565,0.9813,0.0031
2459674.95715,0.9809,0.003
2459674.95782,0.9869,0.0031
2459674.95914,0.9894,0.0031
2459674.95979,0.9806,0.003
2459674.96045,0.9803,0.003
2459674.96111,0.9893,0.0031
2459674.96177,0.9848,0.0031
2459674.96243,0.9867,0.003
2459674.96309,0.9853,0.003
2459674.96375,0.9773,0.0031
2459674.96441,0.9829,0.003
2459674.96573,0.9844,0.003
2459674.96639,0.9891,0.0031
2459674.96705,0.9864,0.0031
2459674.96771,0.9843,0.0031
2459674.96837,0.978,0.003
2459674.96903,0.9845,0.0031
2459674.96969,0.988,0.0031
2459674.97101,0.9877,0.0031
2459674.97167,0.9891,0.0031
2459674.97233,0.9772,0.0031
2459674.973,0.9907,0.0032
2459674.97365,0.9885,0.0032
2459674.97431,0.9805,0.0032
2459674.97497,0.9815,0.0033
2459674.97563,0.9838,0.0031
2459674.97629,0.98,0.0032
2459674.97695,0.9709,0.0034
2459674.97761,0.9777,0.0033
2459674.97827,0.9798,0.0032
2459674.97893,0.9791,0.0032
2459674.97959,0.9791,0.0032
2459674.98025,0.9812,0.0032
2459674.98157,0.977,0.0032
2459674.98223,0.979,0.0033
2459674.98355,0.9899,0.0032
2459674.98421,0.9797,0.0032
2459674.98487,0.9789,0.0032
2459674.98619,0.9808,0.0032
2459674.98685,0.9827,0.0032
2459674.98751,0.9839,0.0032
2459674.98817,0.9858,0.0032
2459674.98883,0.9866,0.0033
2459674.98949,0.988,0.0032
2459674.9908,0.9831,0.0034
2459674.99146,0.9842,0.0034
2459674.99212,0.985,0.0034
2459674.99278,0.9826,0.0034
2459674.99344,0.9894,0.0033
2459674.9941,1.0017,0.0034
2459674.99542,0.9978,0.0034
2459674.99608,0.9849,0.0034
2459674.99674,0.9945,0.0034
2459674.9974,0.9959,0.0033
2459674.99806,1.0027,0.0034
2459674.99938,0.9973,0.0035
2459675.00004,1.0021,0.0034
2459675.0007,0.9965,0.0033
2459675.00268,0.9977,0.0034
2459675.00334,1.0008,0.0034
2459675.00598,1.0065,0.0034
2459675.00729,0.9992,0.0034
2459675.00795,1.0067,0.0034
2459675.00927,0.9939,0.0035
2459675.00993,1.0036,0.0034
2459675.01059,1.0031,0.0034
2459675.01125,1.0013,0.0034
2459675.01191,1.0045,0.0034
2459675.01257,1.004,0.0034
2459675.01323,1.0032,0.0034
2459675.01389,1.0041,0.0034
2459675.01455,1.0031,0.0034
2459675.01521,1.0045,0.0034
2459675.01653,1.0065,0.0035
2459675.01719,1.0009,0.0034
2459675.01851,0.9975,0.0035
2459675.01983,0.9958,0.0036
2459675.02049,1.0057,0.0035
