BJD_TDB,NormFlux,NormFluxError
2459749.94544,0.9945,0.0011
2459749.94691,0.9949,0.0011
2459749.94765,0.9955,0.0011
2459749.94838,0.9963,0.0011
2459749.94912,0.9932,0.0011
2459749.94985,0.9965,0.0011
2459749.95059,0.9955,0.0011
2459749.95132,0.9973,0.0011
2459749.95206,0.997,0.0011
2459749.95279,0.9971,0.0011
2459749.95354,0.9969,0.0011
2459749.95427,0.9937,0.0011
2459749.95501,0.9948,0.0011
2459749.95574,0.9937,0.0011
2459749.95648,0.9954,0.0011
2459749.95721,0.9965,0.0011
2459749.95795,0.9968,0.0011
2459749.95868,0.9929,0.0011
2459749.95942,0.9927,0.0011
2459749.96015,0.9971,0.0011
2459749.96089,0.9958,0.0011
2459749.96162,0.9963,0.0011
2459749.96236,0.9938,0.0011
2459749.96309,0.9954,0.0011
2459749.96383,0.9958,0.0011
2459749.96456,0.9969,0.0011
2459749.9653,0.997,0.0011
2459749.96603,0.9958,0.0011
2459749.96677,0.9946,0.0011
2459749.9675,0.9943,0.0011
2459749.96824,0.9947,0.0011
2459749.96898,0.9952,0.0011
2459749.96971,0.9956,0.0011
2459749.97044,0.9948,0.0011
