System,Orbit number,T_mid,Uncertainty (days),Time System,#,Reference
WASP-043,1390.0,2458554.17861,0.000225,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1391.0,2458554.9923,0.0002369,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1395.0,2458558.24628,0.0001918,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1396.0,2458559.05952,0.0002257,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1397.0,2458559.873,0.0002275,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1398.0,2458560.68632,0.0002235,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1399.0,2458561.49991,0.0002274,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1400.0,2458562.31365,0.000218,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1401.0,2458563.12705,0.0002245,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1402.0,2458563.94015,0.0002443,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1403.0,2458564.75419,0.0002029,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1404.0,2458565.56751,0.0002066,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1405.0,2458566.38041,0.0002275,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1406.0,2458567.19437,0.0002301,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1407.0,2458568.00789,0.0002062,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1417.0,2458576.14088,0.000322,BJD_TDB,1,2021AJ....162...18S
WASP-043,1428.0,2458585.08794,0.00052,BJD_TDB,1,2021AJ....162...18S
WASP-043,1617.0,2458738.83735,9e-05,BJD_TDB,1,2023AJ....165..107M
WASP-043,1635.0,2458753.47983,0.0001,BJD_TDB,1,2023AJ....165..107M
WASP-043,1753.0,2458849.46866,0.000188,BJD_TDB,1,2021AJ....162...18S
WASP-043,1797.0,2458885.25945,0.000911,BJD_TDB,1,2021AJ....162...18S
WASP-043,1808.0,2458894.20739,0.000365,BJD_TDB,1,2021AJ....162...18S
WASP-043,2253.0,2459256.2066,0.0002307,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2254.0,2459257.02069,0.0002563,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2255.0,2459257.83371,0.0001884,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2256.0,2459258.64735,0.0002086,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2257.0,2459259.46054,0.0002233,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2258.0,2459260.27432,0.0002233,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2259.0,2459261.08731,0.0002303,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2260.0,2459261.9013,0.0002071,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2261.0,2459262.71456,0.0001873,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2262.0,2459263.52798,0.0002129,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2263.0,2459264.34175,0.0002229,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2264.0,2459265.15492,0.0002096,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2265.0,2459265.96874,0.0002189,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2266.0,2459266.78184,0.000298,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2273.0,2459272.47651,0.0002144,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2274.0,2459273.2892,0.0002213,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2275.0,2459274.1028,0.0002473,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2276.0,2459274.9168,0.0002261,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2277.0,2459275.73044,0.0002247,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2278.0,2459276.54351,0.0002052,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2279.0,2459277.35743,0.0002148,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2280.0,2459278.17078,0.0002323,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2281.0,2459278.98405,0.0002407,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2282.0,2459279.79793,0.0002142,BJD_TDB,1,2022ApJS..259...62I
WASP-043,2754.0,2459663.75733,0.00022,BJD_TDB,1,This Work
WASP-043,2770.0,2459676.77387,0.0003,BJD_TDB,1,This Work
