System,Time(BJD_TDB),RV(m/s),σ(m/s),Citation
WASP-043,2456363.465502,207.4,9.5,2017A&A...601A..53E
WASP-043,2456363.471016,158.9,9.9,2017A&A...601A..53E
WASP-043,2456363.476525,172.4,9.6,2017A&A...601A..53E
WASP-043,2456363.482039,140.8,9.6,2017A&A...601A..53E
WASP-043,2456363.487549,108.3,9.4,2017A&A...601A..53E
WASP-043,2456363.493054,62.2,9.3,2017A&A...601A..53E
WASP-043,2456363.498567,37.9,10.2,2017A&A...601A..53E
WASP-043,2456363.504081,0.4,9.1,2017A&A...601A..53E
WASP-043,2456363.50959,-17.3,8.6,2017A&A...601A..53E
WASP-043,2456363.515104,-14.7,9.0,2017A&A...601A..53E
WASP-043,2456363.520614,-37.6,9.7,2017A&A...601A..53E
WASP-043,2456363.526123,-61.8,10.3,2017A&A...601A..53E
WASP-043,2456363.531624,-97.1,10.9,2017A&A...601A..53E
WASP-043,2456363.537128,-116.4,11.3,2017A&A...601A..53E
WASP-043,2456363.542642,-126.9,10.4,2017A&A...601A..53E
WASP-043,2456363.548156,-161.6,11.3,2017A&A...601A..53E
WASP-043,2456363.55367,-173.9,13.2,2017A&A...601A..53E
WASP-043,2456363.559179,-205.9,11.7,2017A&A...601A..53E
WASP-043,2456363.564693,-217.0,15.4,2017A&A...601A..53E
WASP-043,2456363.571207,-231.3,14.4,2017A&A...601A..53E
WASP-043,2456363.576712,-241.2,12.1,2017A&A...601A..53E
WASP-043,2456363.58223,-296.1,16.3,2017A&A...601A..53E
WASP-043,2456363.58774,-298.9,12.7,2017A&A...601A..53E
WASP-043,2456376.517002,16.6,5.8,2017A&A...601A..53E
WASP-043,2456377.589657,-464.7,8.8,2017A&A...601A..53E
WASP-043,2456381.558437,-433.3,8.8,2017A&A...601A..53E
WASP-043,2456381.563762,-453.0,8.9,2017A&A...601A..53E
WASP-043,2456382.512779,-291.3,5.2,2017A&A...601A..53E
WASP-043,2457050.557137,433.9,19.2,2017A&A...601A..53E
WASP-043,2457116.447829,414.2,4.5,2017A&A...601A..53E
WASP-043,2457145.424807,-466.7,15.4,2017A&A...601A..53E
WASP-103,2456444.7642,151.76,44.74,2014A&A...562L...3G
WASP-103,2456449.737093,-203.75,40.85,2014A&A...562L...3G
WASP-103,2456450.636282,-224.4,33.77,2014A&A...562L...3G
WASP-103,2456452.651124,-41.16,32.68,2014A&A...562L...3G
WASP-103,2456455.707315,290.87,53.48,2014A&A...562L...3G
WASP-103,2456457.737118,58.81,46.74,2014A&A...562L...3G
WASP-103,2456458.621691,179.26,40.58,2014A&A...562L...3G
WASP-103,2456459.713097,-151.92,36.95,2014A&A...562L...3G
WASP-103,2456460.744388,-211.73,58.41,2014A&A...562L...3G
WASP-103,2456473.673865,-235.61,60.01,2014A&A...562L...3G
WASP-103,2456486.575754,-245.35,47.05,2014A&A...562L...3G
WASP-103,2456505.616947,271.46,39.0,2014A&A...562L...3G
WASP-103,2456510.541228,-97.63,37.68,2014A&A...562L...3G
WASP-103,2456511.575278,-224.22,40.43,2014A&A...562L...3G
WASP-103,2456514.587545,-88.46,42.63,2014A&A...562L...3G
WASP-103,2456531.522854,281.17,76.26,2014A&A...562L...3G
WASP-103,2456532.559281,245.23,71.81,2014A&A...562L...3G
WASP-103,2456545.499433,245.74,41.2,2014A&A...562L...3G
WASP-103,2456800.15893,100.0,59.0,2016ApJ...823...29A
WASP-103,2456800.17411,101.0,45.0,2016ApJ...823...29A
WASP-103,2456800.18999,56.0,52.0,2016ApJ...823...29A
WASP-103,2456800.20246,-82.0,68.0,2016ApJ...823...29A
WASP-103,2456799.12368,141.0,52.0,2016ApJ...823...29A
WASP-103,2456800.22025,-147.0,58.0,2016ApJ...823...29A
WASP-103,2456799.13733,142.0,49.0,2016ApJ...823...29A
WASP-103,2456800.23273,-251.0,60.0,2016ApJ...823...29A
WASP-103,2456800.109,129.0,71.0,2016ApJ...823...29A
WASP-103,2456800.24521,-124.0,59.0,2016ApJ...823...29A
WASP-103,2456800.12148,78.0,60.0,2016ApJ...823...29A
WASP-103,2456800.25769,-146.0,74.0,2016ApJ...823...29A
WASP-103,2456800.13397,91.0,54.0,2016ApJ...823...29A
WASP-103,2456800.2719,-160.0,64.0,2016ApJ...823...29A
WASP-103,2456800.14645,73.0,52.0,2016ApJ...823...29A
WASP-103,2456537.506214,-318.81,129.3,2018MNRAS.474.2334D
WASP-103,2456837.661259,-79.11,57.63,2018MNRAS.474.2334D
WASP-103,2456852.650727,92.91,62.56,2018MNRAS.474.2334D
WASP-103,2456880.562742,296.07,70.13,2018MNRAS.474.2334D
WASP-103,2456920.487957,8.93,98.04,2018MNRAS.474.2334D
